ROTA;FILIAL_ORIGEM;FILIAL_DESTINO; R$_CAPITAL ; R$_INTERIOR ; %_CAPITAL ; %_INTERIOR ;PM
AJUAJU;AJU;AJU;R$ 0,78;R$ 1,35;0,14%;0,14%;50
AJUMCZ;AJU;MCZ;R$ 2,00;R$ 2,17;0,18%;0,18%;50
AJUFES;AJU;FES;R$ 1,82;R$ 1,97;0,18%;0,18%;50
AJUITN;AJU;ITN;R$ 2,13;R$ 2,38;0,18%;0,18%;50
AJUVDC;AJU;VDC;R$ 2,36;R$ 2,60;0,18%;0,18%;50
AJUSSA;AJU;SSA;R$ 2,32;R$ 2,56;0,18%;0,18%;50
AJUCAU;AJU;CAU;R$ 2,36;R$ 2,60;0,18%;0,18%;50
AJUVIX;AJU;VIX;R$ 2,05;R$ 2,30;0,27%;0,27%;50
AJUBHZ;AJU;BHZ;R$ 2,35;R$ 2,60;0,37%;0,37%;50
AJUBSB;AJU;BSB;R$ 2,82;R$ 2,98;0,37%;0,37%;50
AJUPMW;AJU;PMW;R$ 3,91;R$ 4,05;0,37%;0,37%;50
AJUCAW;AJU;CAW;R$ 2,99;R$ 3,21;0,37%;0,37%;50
AJUDIV;AJU;DIV;R$ 2,52;R$ 2,76;0,37%;0,37%;50
AJUJDF;AJU;JDF;R$ 3,09;R$ 3,30;0,37%;0,37%;50
AJUGYN;AJU;GYN;R$ 2,67;R$ 2,85;0,37%;0,37%;50
AJURIO;AJU;RIO;R$ 2,42;R$ 2,67;0,37%;0,37%;50
AJUPSA;AJU;PSA;R$ 2,88;R$ 3,12;0,37%;0,37%;50
AJUSJK;AJU;SJK;R$ 2,93;R$ 3,18;0,45%;0,45%;50
AJUCPQ;AJU;CPQ;R$ 2,89;R$ 3,13;0,45%;0,45%;50
AJUSAO;AJU;SAO;R$ 2,47;R$ 2,74;0,45%;0,45%;50
AJUSSZ;AJU;SSZ;R$ 3,29;R$ 3,53;0,45%;0,45%;50
AJUSOD;AJU;SOD;R$ 3,16;R$ 3,37;0,45%;0,45%;50
AJUBAU;AJU;BAU;R$ 3,31;R$ 3,54;0,66%;0,66%;50
AJURAO;AJU;RAO;R$ 3,03;R$ 3,28;0,66%;0,66%;50
AJUCWB;AJU;CWB;R$ 3,06;R$ 3,30;0,66%;0,66%;50
AJUJOI;AJU;JOI;R$ 2,85;R$ 3,10;0,66%;0,66%;50
AJUCGB;AJU;CGB;R$ 5,95;R$ 6,02;0,66%;0,66%;50
AJUCGR;AJU;CGR;R$ 5,38;R$ 5,46;0,66%;0,66%;50
AJUSJP;AJU;SJP;R$ 3,62;R$ 3,84;0,66%;0,66%;50
AJUITJ;AJU;ITJ;R$ 3,12;R$ 3,33;0,66%;0,66%;50
AJUBNU;AJU;BNU;R$ 3,10;R$ 3,31;0,66%;0,66%;50
AJULDB;AJU;LDB;R$ 3,34;R$ 3,54;0,66%;0,66%;50
AJUFLN;AJU;FLN;R$ 3,45;R$ 3,65;0,66%;0,66%;50
AJUPPB;AJU;PPB;R$ 4,07;R$ 4,27;0,66%;0,66%;50
AJUUDI;AJU;UDI;R$ 3,18;R$ 3,39;0,45%;0,45%;50
AJUMGF;AJU;MGF;R$ 3,36;R$ 3,56;0,66%;0,66%;50
AJUBEL;AJU;BEL;R$ 3,23;R$ 3,44;0,66%;0,66%;50
AJULAJ;AJU;LAJ;R$ 4,00;R$ 4,18;0,66%;0,66%;50
AJUCCM;AJU;CCM;R$ 4,28;R$ 4,45;0,66%;0,66%;50
AJUCAC;AJU;CAC;R$ 3,88;R$ 4,06;0,94%;0,94%;50
AJUXAP;AJU;XAP;R$ 3,96;R$ 4,13;0,94%;0,94%;50
AJUCXJ;AJU;CXJ;R$ 3,26;R$ 3,46;0,94%;0,94%;50
AJUPOA;AJU;POA;R$ 3,56;R$ 3,75;0,94%;0,94%;50
AJUPNZ;AJU;PNZ;R$ 2,12;R$ 2,37;0,18%;0,18%;50
AJUREC;AJU;REC;R$ 1,16;R$ 1,44;0,18%;0,18%;50
AJUJPA;AJU;JPA;R$ 1,36;R$ 1,64;0,27%;0,27%;50
AJUNAT;AJU;NAT;R$ 1,55;R$ 1,82;0,27%;0,27%;50
AJUTHE;AJU;THE;R$ 2,64;R$ 2,87;0,27%;0,27%;50
AJUFOR;AJU;FOR;R$ 1,60;R$ 1,86;0,27%;0,27%;50
AJUIMP;AJU;IMP;R$ 2,66;R$ 2,89;0,37%;0,37%;50
AJUSLZ;AJU;SLZ;R$ 2,58;R$ 2,81;0,37%;0,37%;50
BAUBAU;BAU;BAU;R$ 0,85;R$ 1,20;0,14%;0,14%;50
BAUCPQ;BAU;CPQ;R$ 1,89;R$ 1,95;0,18%;0,18%;50
BAUSJK;BAU;SJK;R$ 2,22;R$ 2,27;0,18%;0,18%;50
BAUSOD;BAU;SOD;R$ 1,98;R$ 2,04;0,18%;0,18%;50
BAUSAO;BAU;SAO;R$ 2,12;R$ 2,20;0,18%;0,18%;50
BAUPSA;BAU;PSA;R$ 3,15;R$ 3,22;0,18%;0,18%;50
BAUSSZ;BAU;SSZ;R$ 3,30;R$ 3,32;0,18%;0,18%;50
BAURAO;BAU;RAO;R$ 2,35;R$ 2,40;0,25%;0,25%;50
BAUSJP;BAU;SJP;R$ 2,69;R$ 2,75;0,25%;0,25%;50
BAUCWB;BAU;CWB;R$ 2,47;R$ 2,51;0,25%;0,25%;50
BAUJOI;BAU;JOI;R$ 2,24;R$ 2,29;0,25%;0,25%;50
BAULDB;BAU;LDB;R$ 2,68;R$ 2,68;0,25%;0,25%;50
BAUPPB;BAU;PPB;R$ 3,14;R$ 3,19;0,25%;0,25%;50
BAUUDI;BAU;UDI;R$ 2,29;R$ 2,34;0,25%;0,25%;50
BAUITJ;BAU;ITJ;R$ 2,13;R$ 2,18;0,25%;0,25%;50
BAUMGF;BAU;MGF;R$ 2,33;R$ 2,38;0,25%;0,25%;50
BAUFLN;BAU;FLN;R$ 2,84;R$ 2,87;0,25%;0,25%;50
BAULAJ;BAU;LAJ;R$ 3,43;R$ 3,44;0,27%;0,27%;50
BAUCCM;BAU;CCM;R$ 3,72;R$ 3,71;0,27%;0,27%;50
BAUCAC;BAU;CAC;R$ 2,88;R$ 2,91;0,27%;0,27%;50
BAUXAP;BAU;XAP;R$ 3,43;R$ 3,44;0,27%;0,27%;50
BAUCXJ;BAU;CXJ;R$ 2,81;R$ 2,84;0,27%;0,27%;50
BAUDIV;BAU;DIV;R$ 2,04;R$ 2,07;0,25%;0,25%;50
BAURIO;BAU;RIO;R$ 1,99;R$ 2,03;0,25%;0,25%;50
BAUJDF;BAU;JDF;R$ 2,64;R$ 2,66;0,25%;0,25%;50
BAUBHZ;BAU;BHZ;R$ 1,88;R$ 1,92;0,25%;0,25%;50
BAUBNU;BAU;BNU;R$ 2,22;R$ 2,28;0,25%;0,25%;50
BAUCAW;BAU;CAW;R$ 2,55;R$ 2,57;0,27%;0,27%;50
BAUVIX;BAU;VIX;R$ 2,48;R$ 2,50;0,27%;0,27%;50
BAUBSB;BAU;BSB;R$ 1,70;R$ 1,77;0,27%;0,27%;50
BAUCGR;BAU;CGR;R$ 3,22;R$ 3,26;0,27%;0,27%;50
BAUPOA;BAU;POA;R$ 2,10;R$ 2,16;0,27%;0,27%;50
BAUGYN;BAU;GYN;R$ 2,02;R$ 2,10;0,27%;0,27%;50
BAUVDC;BAU;VDC;R$ 2,71;R$ 2,75;0,37%;0,37%;50
BAUITN;BAU;ITN;R$ 2,52;R$ 2,56;0,37%;0,37%;50
BAUCGB;BAU;CGB;R$ 3,44;R$ 3,45;0,37%;0,37%;50
BAUPMW;BAU;PMW;R$ 2,83;R$ 2,86;0,45%;0,45%;50
BAUFES;BAU;FES;R$ 1,89;R$ 1,92;0,45%;0,45%;50
BAUSSA;BAU;SSA;R$ 2,54;R$ 2,58;0,45%;0,45%;50
BAUAJU;BAU;AJU;R$ 2,17;R$ 2,22;0,45%;0,45%;50
BAUPNZ;BAU;PNZ;R$ 3,60;R$ 3,60;0,66%;0,66%;50
BAUMCZ;BAU;MCZ;R$ 2,11;R$ 2,17;0,66%;0,66%;50
BAUIMP;BAU;IMP;R$ 3,23;R$ 3,25;0,66%;0,66%;50
BAUTHE;BAU;THE;R$ 3,22;R$ 3,23;0,66%;0,66%;50
BAUCAU;BAU;CAU;R$ 3,46;R$ 3,47;0,66%;0,66%;50
BAUJPA;BAU;JPA;R$ 2,07;R$ 2,13;0,66%;0,66%;50
BAUREC;BAU;REC;R$ 2,24;R$ 2,33;0,94%;0,94%;50
BAUSLZ;BAU;SLZ;R$ 3,16;R$ 3,17;0,94%;0,94%;50
BAUNAT;BAU;NAT;R$ 2,25;R$ 2,31;0,94%;0,94%;50
BAUFOR;BAU;FOR;R$ 2,17;R$ 2,23;0,94%;0,94%;50
BAUBEL;BAU;BEL;R$ 1,67;R$ 1,72;0,94%;0,94%;50
BELFOR;BEL;FOR;R$ 2,39;R$ 3,94;0,27%;0,27%;50
BELIMP;BEL;IMP;R$ 2,64;R$ 4,22;0,25%;0,25%;50
BELSLZ;BEL;SLZ;R$ 2,57;R$ 4,14;0,27%;0,27%;50
BELTHE;BEL;THE;R$ 2,68;R$ 4,25;0,27%;0,27%;50
BELGYN;BEL;GYN;R$ 1,97;R$ 3,57;0,45%;0,45%;50
BELBSB;BEL;BSB;R$ 2,48;R$ 4,06;0,45%;0,45%;50
