Resp. Origem;Resp. Destino;Rota;Coleta;Entrega;Terminais;Fixo das Unidades;Redespacho Coleta/Redespacho Entrega;Transferencias;Vazios;Custo Matriz;Total
AJU;AJU;AJU_AJU;36,76%;0,00%;15,41%;28,83%;0,00%;0,00%;0,00%;19,00%;100,00%
MCZ;AJU;MCZ_AJU;10,57%;18,52%;19,27%;28,50%;0,00%;4,13%;0,00%;19,00%;100,00%
FES;AJU;FES_AJU;5,50%;21,95%;17,81%;22,52%;0,00%;6,94%;6,29%;19,00%;100,00%
FES;AJU;ITN_AJU;0,00%;13,40%;10,87%;10,51%;36,61%;4,23%;5,38%;19,00%;100,00%
FES;AJU;VDC_AJU;0,00%;12,12%;9,84%;9,51%;39,66%;3,83%;6,04%;19,00%;100,00%
SSA;AJU;SSA_AJU;8,98%;12,33%;22,60%;26,37%;0,00%;5,62%;5,10%;19,00%;100,00%
REC;AJU;CAU_AJU;0,00%;12,09%;14,89%;9,48%;37,01%;3,97%;3,55%;19,00%;100,00%
VIX;AJU;VIX_AJU;4,45%;13,93%;19,81%;17,76%;0,00%;13,14%;11,91%;19,00%;100,00%
BHZ;AJU;BHZ_AJU;5,56%;11,79%;21,28%;18,31%;0,00%;12,77%;11,28%;19,00%;100,00%
BSB;AJU;BSB_AJU;7,12%;12,17%;17,89%;18,35%;0,00%;13,35%;12,11%;19,00%;100,00%
BSB;AJU;PMW_AJU;0,00%;8,41%;12,35%;8,62%;31,91%;9,22%;10,48%;19,00%;100,00%
RIO;AJU;CAW_AJU;0,00%;9,55%;15,40%;9,79%;22,19%;11,38%;12,69%;19,00%;100,00%
BHZ;AJU;DIV_AJU;0,00%;11,32%;20,43%;11,62%;9,90%;12,26%;15,47%;19,00%;100,00%
BHZ;AJU;JDF_AJU;0,00%;9,24%;16,68%;9,48%;22,60%;10,01%;13,00%;19,00%;100,00%
GYN;AJU;GYN_AJU;7,43%;12,32%;18,36%;13,99%;0,00%;15,16%;13,75%;19,00%;100,00%
RIO;AJU;RIO_AJU;9,92%;11,21%;18,08%;16,30%;0,00%;13,36%;12,12%;19,00%;100,00%
BHZ;AJU;PSA_AJU;0,00%;8,93%;16,13%;9,17%;33,19%;9,68%;3,91%;19,00%;100,00%
