ROTA;ORIGEM;DESTINO;UF_ORIGEM;UF_DESTINO;10-Frete Peso;20-Frete Peso;30-Frete Peso;50-Frete Peso;75-Frete Peso;100-Frete Peso;999,999,999.9999-Frete Peso;999,999,999.9999-Frete Valor
AJUAJU;AJU;AJU;SE;SE; R$ 111,77 ; R$ 131,33 ; R$ 154,87 ; R$ 197,81 ; R$ 273,12 ; R$ 404,58 ; R$ 4,05 ;0,31%
AJUALI;AJU;ALI;SE;AL; R$ 152,22 ; R$ 178,86 ; R$ 210,91 ; R$ 269,40 ; R$ 371,97 ; R$ 551,00 ; R$ 5,52 ;0,62%
AJUALI2;AJU;ALI2;SE;AL; R$ 187,36 ; R$ 220,14 ; R$ 259,59 ; R$ 331,56 ; R$ 457,79 ; R$ 678,15 ; R$ 6,78 ;0,72%
AJUAPI;AJU;API;SE;AP; R$ 410,58 ; R$ 482,41 ; R$ 568,87 ; R$ 726,60 ; R$ 1.003,22 ; R$ 1.486,10 ; R$ 14,86 ;0,88%
AJUAPI2;AJU;API2;SE;API2; R$ 564,55 ; R$ 663,32 ; R$ 782,19 ; R$ 999,06 ; R$ 1.379,43 ; R$ 2.043,38 ; R$ 20,44 ;0,88%
AJUARU;AJU;ARU;SE;SP; R$ 220,89 ; R$ 259,54 ; R$ 306,05 ; R$ 390,90 ; R$ 539,72 ; R$ 799,50 ; R$ 7,99 ;0,83%
AJUARU2;AJU;ARU2;SE;SP; R$ 271,86 ; R$ 319,42 ; R$ 376,67 ; R$ 481,11 ; R$ 664,26 ; R$ 983,99 ; R$ 9,85 ;0,83%
AJUBAI;AJU;BAI;SE;BA; R$ 145,31 ; R$ 170,72 ; R$ 201,31 ; R$ 257,14 ; R$ 355,03 ; R$ 525,92 ; R$ 5,25 ;0,62%
AJUBAI2;AJU;BAI2;SE;BA; R$ 179,29 ; R$ 210,66 ; R$ 248,41 ; R$ 317,28 ; R$ 438,07 ; R$ 648,93 ; R$ 6,49 ;0,62%
AJUBAU;AJU;BAU;SE;SP; R$ 200,88 ; R$ 236,02 ; R$ 278,32 ; R$ 355,49 ; R$ 490,84 ; R$ 727,08 ; R$ 7,27 ;0,83%
AJUBAU2;AJU;BAU2;SE;SP; R$ 271,86 ; R$ 319,42 ; R$ 376,67 ; R$ 481,11 ; R$ 664,26 ; R$ 983,99 ; R$ 9,85 ;0,83%
AJUBEL;AJU;BEL;SE;PA; R$ 263,94 ; R$ 310,12 ; R$ 365,70 ; R$ 467,10 ; R$ 644,93 ; R$ 955,35 ; R$ 9,55 ;0,78%
AJUBHZ;AJU;BHZ;SE;MG; R$ 153,38 ; R$ 180,21 ; R$ 212,50 ; R$ 271,42 ; R$ 374,75 ; R$ 555,13 ; R$ 5,55 ;0,72%
AJUBNU;AJU;BNU;SE;SC; R$ 181,02 ; R$ 212,68 ; R$ 250,79 ; R$ 320,34 ; R$ 442,29 ; R$ 655,17 ; R$ 6,56 ;0,83%
AJUBSB;AJU;BSB;SE;DF; R$ 185,49 ; R$ 217,94 ; R$ 256,99 ; R$ 328,24 ; R$ 453,21 ; R$ 671,35 ; R$ 6,71 ;1,14%
AJUCEI;AJU;CEI;SE;CE; R$ 179,91 ; R$ 211,39 ; R$ 249,27 ; R$ 318,38 ; R$ 439,58 ; R$ 651,18 ; R$ 6,51 ;0,83%
AJUCEI2;AJU;CEI2;SE;CE; R$ 221,43 ; R$ 260,17 ; R$ 306,79 ; R$ 391,85 ; R$ 541,03 ; R$ 801,45 ; R$ 8,02 ;0,83%
AJUCGB;AJU;CGB;SE;MT; R$ 338,56 ; R$ 397,79 ; R$ 469,07 ; R$ 599,13 ; R$ 827,23 ; R$ 1.225,40 ; R$ 12,26 ;1,14%
