UF;CIDADE;BUSCA;REF;CLASSIFICACAO_CAP_IN;CAP_INT;REGIÇO;JAMEF;FILIAL_ATENDIMENTO
GO;ABADIA DE GOIAS;GOABADIA DE GOIAS;GOI1;Interior-1;I1;Centro Oeste;GYN;Goiania - GO
MG;ABADIA DOS DOURADOS;MGABADIA DOS DOURADOS;MGI2;Interior-2;I2;Sudeste;UDI;Uberlƒndia - MG
GO;ABADIANIA;GOABADIANIA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
MG;ABAETE;MGABAETE;MGI2;Interior-2;I2;Sudeste;DIV;Divin¢polis - MG
PA;ABAETETUBA;PAABAETETUBA;PAI2;Interior-2;I2;Norte;BEL;Bel‚m - PA
CE;ABAIARA;CEABAIARA;CEI1;Interior-1;I1;Nordeste;FOR;Fortaleza - CE
BA;ABAIRA;BAABAIRA;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
BA;ABARE;BAABARE;BAI2;Interior-2;I2;Nordeste;SSA;Salvador - BA
PR;ABATIA;PRABATIA;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
SC;ABDON BATISTA;SCABDON BATISTA;SCI2;Interior-2;I2;Sul;FLN;Florian¢polis - SC
PA;ABEL FIGUEIREDO;PAABEL FIGUEIREDO;PAI1;Interior-1;I1;Norte;BSB;Brasilia - DF
SC;ABELARDO LUZ;SCABELARDO LUZ;SCI2;Interior-2;I2;Sul;FLN;Florian¢polis - SC
MG;ABRE CAMPO;MGABRE CAMPO;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PE;ABREU E LIMA;PEABREU E LIMA;PEC;Capital;C;Nordeste;REC;Recife - PE
TO;ABREULANDIA;TOABREULANDIA;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
MG;ACAIACA;MGACAIACA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
MA;ACAILANDIA;MAACAILANDIA;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
BA;ACAJUTIBA;BAACAJUTIBA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
PA;ACARA;PAACARA;PAI1;Interior-1;I1;Norte;BSB;Brasilia - DF
CE;ACARAPE;CEACARAPE;CEI1;Interior-1;I1;Nordeste;FOR;Fortaleza - CE
CE;ACARAU;CEACARAU;CEI2;Interior-2;I2;Nordeste;FOR;Fortaleza - CE
RN;ACARI;RNACARI;RNI2;Interior-2;I2;Nordeste;NAT;Natal - RN
PI;ACAUA;PIACAUA;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
RS;ACEGUA;RSACEGUA;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
CE;ACOPIARA;CEACOPIARA;CEI2;Interior-2;I2;Nordeste;FOR;Fortaleza - CE
MT;ACORIZAL;MTACORIZAL;MTI1;Interior-1;I1;Centro Oeste;CGB;Brasilia - DF
GO;ACREUNA;GOACREUNA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
RN;ACU;RNACU;RNI2;Interior-2;I2;Nordeste;NAT;Natal - RN
MG;ACUCENA;MGACUCENA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
SP;ADAMANTINA;SPADAMANTINA;SPI2;Interior-2;I2;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
GO;ADELANDIA;GOADELANDIA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
SP;ADOLFO;SPADOLFO;SPI1;Interior-1;I1;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
PR;ADRIANOPOLIS;PRADRIANOPOLIS;PRI2;Interior-2;I2;Sul;CWB;Curitiba - PR
BA;ADUSTINA;BAADUSTINA;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
PE;AFOGADOS DA INGAZEIRA;PEAFOGADOS DA INGAZEIRA;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
RN;AFONSO BEZERRA;RNAFONSO BEZERRA;RNI2;Interior-2;I2;Nordeste;NAT;Natal - RN
ES;AFONSO CLAUDIO;ESAFONSO CLAUDIO;ESI2;Interior-2;I2;Sudeste;VIX;Espirito Santo - ES
MA;AFONSO CUNHA;MAAFONSO CUNHA;MAI1;Interior-1;I1;Nordeste;SLZ;SÆo Luis - MA
PE;AFRANIO;PEAFRANIO;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
PA;AFUA;PAAFUA;PAI1;Interior-1;I1;Norte;BSB;Brasilia - DF
SP;AGENTE - 319;SPAGENTE - 319;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
SP;AGENTE SA FICTICIO(NSP);SPAGENTE SA FICTICIO(NSP);SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
PE;AGENTE YA FICTICIO(REC);PEAGENTE YA FICTICIO(REC);PEI1;Interior-1;I1;Nordeste;REC;Recife - PE
RS;Agente ZB;RSAgente ZB;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
PE;AGRESTINA;PEAGRESTINA;PEI1;Interior-1;I1;Nordeste;REC;Recife - PE
PI;AGRICOLANDIA;PIAGRICOLANDIA;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
SC;AGROLANDIA;SCAGROLANDIA;SCI2;Interior-2;I2;Sul;BNU;Blumenau - SC
SC;AGRONOMICA;SCAGRONOMICA;SCI1;Interior-1;I1;Sul;ITJ;Itajai - SC
PA;AGUA AZUL DO NORTE;PAAGUA AZUL DO NORTE;PAI2;Interior-2;I2;Norte;BEL;Bel‚m - PA
MG;AGUA BOA;MGAGUA BOA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
MT;AGUA BOA;MTAGUA BOA;MTI2;Interior-2;I2;Centro Oeste;CGB;Brasilia - DF
AL;AGUA BRANCA;ALAGUA BRANCA;ALI2;Interior-2;I2;Nordeste;MCZ;Maceio - AL
PB;AGUA BRANCA;PBAGUA BRANCA;PBI2;Interior-2;I2;Nordeste;JPA;JoÆo Pessoa - PB
PI;AGUA BRANCA;PIAGUA BRANCA;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
MS;AGUA CLARA;MSAGUA CLARA;MSI2;Interior-2;I2;Centro Oeste;CGR;Brasilia - DF
MG;AGUA COMPRIDA;MGAGUA COMPRIDA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
SC;AGUA DOCE;SCAGUA DOCE;SCI1;Interior-1;I1;Sul;FLN;Florian¢polis - SC
MA;AGUA DOCE DO MARANHAO;MAAGUA DOCE DO MARANHAO;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
ES;AGUA DOCE DO NORTE;ESAGUA DOCE DO NORTE;ESI2;Interior-2;I2;Sudeste;VIX;Espirito Santo - ES
BA;AGUA FRIA;BAAGUA FRIA;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
GO;AGUA FRIA DE GOIAS;GOAGUA FRIA DE GOIAS;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
GO;AGUA LIMPA;GOAGUA LIMPA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
RN;AGUA NOVA;RNAGUA NOVA;RNI1;Interior-1;I1;Nordeste;NAT;Natal - RN
PE;AGUA PRETA;PEAGUA PRETA;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
RS;AGUA SANTA;RSAGUA SANTA;RSI1;Interior-1;I1;Sul;POA;Porto Alegre - RS
SP;AGUAI;SPAGUAI;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MG;AGUANIL;MGAGUANIL;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
PE;AGUAS BELAS;PEAGUAS BELAS;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
SP;AGUAS DA PRATA;SPAGUAS DA PRATA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
SC;AGUAS DE CHAPECO;SCAGUAS DE CHAPECO;SCI1;Interior-1;I1;Sul;ITJ;Itajai - SC
SP;AGUAS DE LINDOIA;SPAGUAS DE LINDOIA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
SP;AGUAS DE SANTA BARBARA;SPAGUAS DE SANTA BARBARA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
SP;AGUAS DE SAO PEDRO;SPAGUAS DE SAO PEDRO;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MG;AGUAS FORMOSAS;MGAGUAS FORMOSAS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
SC;AGUAS FRIAS;SCAGUAS FRIAS;SCI1;Interior-1;I1;Sul;FLN;Florian¢polis - SC
GO;AGUAS LINDAS DE GOIAS;GOAGUAS LINDAS DE GOIAS;GOI1;Interior-1;I1;Centro Oeste;BSB;Brasilia - DF
SC;AGUAS MORNAS;SCAGUAS MORNAS;SCC;Capital;C;Sul;FLN;Florian¢polis - SC
MG;AGUAS VERMELHAS;MGAGUAS VERMELHAS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RS;AGUDO;RSAGUDO;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
SP;AGUDOS;SPAGUDOS;SPI1;Interior-1;I1;Sudeste;BAU;Bauru - SP
PR;AGUDOS DO SUL;PRAGUDOS DO SUL;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
ES;AGUIA BRANCA;ESAGUIA BRANCA;ESI2;Interior-2;I2;Sudeste;VIX;Espirito Santo - ES
PB;AGUIAR;PBAGUIAR;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
TO;AGUIARNOPOLIS;TOAGUIARNOPOLIS;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
MG;AIMORES;MGAIMORES;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
BA;AIQUARA;BAAIQUARA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
CE;AIUABA;CEAIUABA;CEI2;Interior-2;I2;Nordeste;FOR;Fortaleza - CE
MG;AIURUOCA;MGAIURUOCA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RS;AJURICABA;RSAJURICABA;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
MG;ALAGOA;MGALAGOA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PB;ALAGOA GRANDE;PBALAGOA GRANDE;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
PB;ALAGOA NOVA;PBALAGOA NOVA;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
PB;ALAGOINHA;PBALAGOINHA;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
PE;ALAGOINHA;PEALAGOINHA;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
PI;ALAGOINHA DO PIAUI;PIALAGOINHA DO PIAUI;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
BA;ALAGOINHAS;BAALAGOINHAS;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
SP;ALAMBARI;SPALAMBARI;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MG;ALBERTINA;MGALBERTINA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
MA;ALCANTARA;MAALCANTARA;MAI1;Interior-1;I1;Nordeste;SLZ;SÆo Luis - MA
